[DEBUG] [2022-07-15 16:33:23] AbstractApplicationContext.prepareRefresh(629) | Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@39aeed2f
[DEBUG] [2022-07-15 16:33:24] XmlBeanDefinitionReader.doLoadBeanDefinitions(393) | Loaded 3 bean definitions from class path resource [applicationContext.xml]
[DEBUG] [2022-07-15 16:33:24] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'defaultConfigProperty'
[DEBUG] [2022-07-15 16:33:24] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'defaultConfigOption'
[INFO] [2022-07-15 16:33:24] ConfigProperty.getConfigInputStream(123) | Load config from conf/ca.crt failed, trying to load from the resourcePath /home/chenxun/fisco/voteApp/dist/conf/
[INFO] [2022-07-15 16:33:24] ConfigProperty.getConfigInputStream(123) | Load config from conf/sdk.crt failed, trying to load from the resourcePath /home/chenxun/fisco/voteApp/dist/conf/
[INFO] [2022-07-15 16:33:24] ConfigProperty.getConfigInputStream(123) | Load config from conf/sdk.key failed, trying to load from the resourcePath /home/chenxun/fisco/voteApp/dist/conf/
[DEBUG] [2022-07-15 16:33:24] CryptoMaterialConfig.<init>(137) | Load cryptoMaterial, caCertPath: /home/chenxun/fisco/voteApp/dist/conf/conf/ca.crt, sdkCertPath: /home/chenxun/fisco/voteApp/dist/conf/conf/sdk.crt, sdkPrivateKeyPath:/home/chenxun/fisco/voteApp/dist/conf/conf/sdk.key, enSSLCertPath: null, enSSLPrivateKeyPath:null
[DEBUG] [2022-07-15 16:33:24] InternalLoggerFactory.useSlf4JLoggerFactory(63) | Using SLF4J as the default logging framework
[DEBUG] [2022-07-15 16:33:24] NetUtil.<clinit>(136) | -Djava.net.preferIPv4Stack: false
[DEBUG] [2022-07-15 16:33:24] NetUtil.<clinit>(137) | -Djava.net.preferIPv6Addresses: false
[DEBUG] [2022-07-15 16:33:24] NetUtilInitializations.determineLoopback(129) | Loopback interface: lo (lo, 0:0:0:0:0:0:0:1%lo)
