[ERROR] [2022-07-16 07:55:16] ChannelHandler.userEventTriggered(58) |  idle state event:READER_IDLE connect127.0.0.1:20200 long time Inactive, disconnect
[ERROR] [2022-07-16 07:55:16] ChannelHandler.userEventTriggered(58) |  idle state event:READER_IDLE connect127.0.0.1:20201 long time Inactive, disconnect
[DEBUG] [2022-07-16 07:55:16] ChannelHandler.channelInactive(127) |  channelInactive, disconnect 127.0.0.1:20201 ,true
[DEBUG] [2022-07-16 07:55:16] ConnectionManager.removeConnectionContext(464) |  result: true, host: 127.0.0.1, port: 20201, ctx: 964000308
[DEBUG] [2022-07-16 07:55:16] ChannelMsgHandler.onDisconnect(163) | onDisconnect in ChannelMsgHandler called, host : 127.0.0.1:20201
[DEBUG] [2022-07-16 07:55:16] ChannelHandler.channelInactive(127) |  channelInactive, disconnect 127.0.0.1:20200 ,true
[DEBUG] [2022-07-16 07:55:16] ConnectionManager.removeConnectionContext(464) |  result: true, host: 127.0.0.1, port: 20200, ctx: 1698903778
[DEBUG] [2022-07-16 07:55:16] ChannelMsgHandler.onDisconnect(163) | onDisconnect in ChannelMsgHandler called, host : 127.0.0.1:20200
[INFO] [2022-07-16 07:55:16] EventSubscribeImp.resendWaitingFilters(173) | Resend waiting filters, size: 0
[INFO] [2022-07-16 07:55:16] EventSubscribeImp.resendWaitingFilters(173) | Resend waiting filters, size: 0
[INFO] [2022-07-16 07:55:16] EventSubscribeImp.resendWaitingFilters(173) | Resend waiting filters, size: 0
[INFO] [2022-07-16 07:55:16] EventSubscribeImp.resendWaitingFilters(173) | Resend waiting filters, size: 0
[INFO] [2022-07-16 07:55:16] EventSubscribeImp.resendWaitingFilters(173) | Resend waiting filters, size: 0
[INFO] [2022-07-16 07:55:16] EventSubscribeImp.resendWaitingFilters(173) | Resend waiting filters, size: 0
[INFO] [2022-07-16 07:55:16] EventSubscribeImp.resendWaitingFilters(173) | Resend waiting filters, size: 0
[INFO] [2022-07-16 07:55:16] EventSubscribeImp.resendWaitingFilters(173) | Resend waiting filters, size: 0
