[DEBUG] [2022-07-16 13:00:00] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 06edca15b2344257aa575ab37d344a0f, msgType : 19
[DEBUG] [2022-07-16 13:00:00] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : e44fa2b60c2e458c8bfcc6a2163477c9, msgType : 19
[DEBUG] [2022-07-16 13:00:02] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 4fc8412be3e649a1a1e96177f04aeb8f, msgType : 19
[DEBUG] [2022-07-16 13:00:02] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : f374dfd55a1b45f8aadabac366066bee, msgType : 19
[DEBUG] [2022-07-16 13:00:04] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 72c18afe75bb4e4791f3b902c2ef375d, msgType : 19
[DEBUG] [2022-07-16 13:00:04] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 12bc9fd8e0be4f0a9dc5e7dc7479ecb3, msgType : 19
[DEBUG] [2022-07-16 13:00:06] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 91731f4850724813b1e098ee7f3664e0, msgType : 19
[DEBUG] [2022-07-16 13:00:06] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 15b500600d264045a0d9d1f9d6c84701, msgType : 19
[DEBUG] [2022-07-16 13:00:08] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 3de2192e36f240f9be3609c70c1baad1, msgType : 19
[DEBUG] [2022-07-16 13:00:08] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 32cbf1f36bd344fcb955560625e54ec4, msgType : 19
[INFO] [2022-07-16 13:00:09] EventSubscribeImp.resendWaitingFilters(173) | Resend waiting filters, size: 0
[DEBUG] [2022-07-16 13:00:10] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 14fb9737ad0246cfaec87b80634b1c27, msgType : 19
[DEBUG] [2022-07-16 13:00:10] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : c85c33b533d6486381ed47f7289e6c9b, msgType : 19
[DEBUG] [2022-07-16 13:00:12] NioEventLoop.run(508) | Selector.select() returned prematurely 4 times in a row for Selector io.netty.channel.nio.SelectedSelectionKeySetSelector@14618ecc.
[DEBUG] [2022-07-16 13:00:12] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : b76f553edaa74bd6bdddd01043f4ba34, msgType : 19
[DEBUG] [2022-07-16 13:00:12] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 662a7e32922448e4830b52a5cdb3dcc0, msgType : 19
[DEBUG] [2022-07-16 13:00:14] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 1fa4cb20662e475bac044cb63a412dec, msgType : 19
[DEBUG] [2022-07-16 13:00:14] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 60320d22b7ac4f738d0e0f8ed7916d27, msgType : 19
[DEBUG] [2022-07-16 13:00:16] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 3c4259589c8646a3861b837f872ade3b, msgType : 19
[DEBUG] [2022-07-16 13:00:16] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 580239fff13641e28c8657e396ea11fb, msgType : 19
[DEBUG] [2022-07-16 13:00:18] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : d1bd9151cd734deead06c45c2e9f2103, msgType : 19
[DEBUG] [2022-07-16 13:00:18] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 3b546a935b9f4ee888795f0b6edf02da, msgType : 19
[INFO] [2022-07-16 13:00:19] EventSubscribeImp.resendWaitingFilters(173) | Resend waiting filters, size: 0
[DEBUG] [2022-07-16 13:00:20] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 0119f085ba194c74b30e7a26f047f043, msgType : 19
[DEBUG] [2022-07-16 13:00:20] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 68deeb47a160434fb5950b3ffd01dbcd, msgType : 19
[DEBUG] [2022-07-16 13:00:22] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 6d4680df0b9c443d8abc5d548fbf358b, msgType : 19
[DEBUG] [2022-07-16 13:00:22] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 78b0d20d26dc4a09925b6e2fb594be45, msgType : 19
[DEBUG] [2022-07-16 13:00:24] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 5653fbf6ac174ed49e989e8da548da6a, msgType : 19
[DEBUG] [2022-07-16 13:00:24] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 71fc30b1a208421493919661710420fe, msgType : 19
[DEBUG] [2022-07-16 13:00:26] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : a80c2f26f8024060ab4efb438a69353b, msgType : 19
[DEBUG] [2022-07-16 13:00:26] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 904bc11d34df4f5e88bb32702b37a9e0, msgType : 19
[DEBUG] [2022-07-16 13:00:28] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : f1268c96758f4140b811a67f3cb06455, msgType : 19
[DEBUG] [2022-07-16 13:00:28] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 6dac576e861140729719c54caf787aa9, msgType : 19
[INFO] [2022-07-16 13:00:29] EventSubscribeImp.resendWaitingFilters(173) | Resend waiting filters, size: 0
[DEBUG] [2022-07-16 13:00:30] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 9019fe7710d14f1eaa5aac65e2412f22, msgType : 19
[DEBUG] [2022-07-16 13:00:30] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 585808044ddb46d8881a6710e0c76448, msgType : 19
[DEBUG] [2022-07-16 13:00:32] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 460b53c27d2b42e4b8e001ae207a1fd1, msgType : 19
[DEBUG] [2022-07-16 13:00:32] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 9f4695bd6d6b4a29a8e18810e57f7b52, msgType : 19
